mk1,mk2,mk3,mk4,mk5
12b6b7a69ffbedb47a75136414f9eade5ab1fd73ce096a8f9852ca5736206436,38e475e2e5b6adafa58947022a63c90342698812f4a2aa2da3f11f3bb6e8f422,3c105ce6f26a5bc909d755aa55251b3ed080fc8ad533c9f197b4704927a7bffb,5133b352426c4b41d74192bf4c8bdffa2cf0c704c56bbffc68fc6b74ae3f907f,5763944ecef3b639f8e724926ff47fddb8572bd56e383e959134b47e3327b78c
7b69e9dfb745f9263a8ee3e2c7801fe1d6d61cd066599c9afc69085bf648cfcd,7c08cce0105e2c629c782468e2c5870001c8fd011e4f407319988f5b826bd3c8,f2e3a4b4a3dfd600de618c28aac4005eb4f957160605fc045379d61af4269dcd,ebc4875d258b9b97f85df8bf6f72d6ae3fff2a06400dddf80e25530eedbff4fd,a3686d376f46efeef7a10b6a83ec341fce3008d4a32f74432b292406b8b4f253
d23e82a0ca36c35d33f8047cad048864c4bbf5511821c50c05f970191a116aef,0229e58c1dd9c90c23f7e9ef02a819b557b5f6a4cb1ce09cb936f520caf4fb2f,b39293290b9852bbafea22c4d16588169e004bd0881a6f0df044fb005e2c2f3b,286a3441496fb4282704a6a39ae497ce3813e4ba4b3a3e556ff32b3914870812,07ed3a04d3fa3b35ce318b42af9c4afc96547552610e81919beabeb2f4ee13f9
d9b2df694064c9e22fffcf17464eb7a9f11be4cde6453f28d88b9a5fe2dd82d3,41d526b6dbc107c687641dfb615788e5f736cb0bc802541d2ce08125444276cc,0d82cc2a18df612bcada328824cd8f28d3f3ae20075cd39f6b0851d12df30411,2bb37a098b4edbbedb2a0c708a1197e6c454a5210335f74631a426f79dbe0642,ff71a35cdeec1c00ef5510f02a84b6e949e27b650f8a7bcc338afa52fede2f42
d0f97573c36062558893ba3dd8e7c7d765d49b736334eb6b73e1e4354edfe0a2,1ad3a75826104c4dd248985a0b66a81d3b024f712cdb4f4672b0ad5e5d1a59c3,04f72180edd2487a06a603b7366c412f183df4d7197237868728975f19d74ddf,c6e24c483da323a84ffec8d0c9743b74463b5695233098a67f21fbef16e8f3d0,0276a6d380f0ca68fa1e907a89ab7ea13098c84e052789bb322ba1c1117de21d
52a91a93e66b113044edff51556c8710f8915e889b269f40623b3d3ddb02f2d7,ff2a5fcecb61124c529beb250fce45d4a6c95e4fa6a71b1bae2ccc8e84dd44c2,92dbd1e44729ad01cb91f7e319c38ca2e89fdbb347760473dff2dcc6227d6efa,5948e96c61962ef86d094658086a3ecb9dc40d813d4ce6f7c98a332fcf447e6b,4ff69e9bf49898c3c41a774cb7f56b6884cbd6e60b849b56af69ef5746daa37b
02810949a408d1ce3dec491a24eb15ca7d97f8195b97ad7c0e1419761936a59e,504f3d40ba25f9a9f35f1d8ae227a33bf338af7987085431fd692622703f3a04,d8236806f8ab72fbc139f11fd51bd90501da38d122ec18d3250c463d8ba03a50,ff08569d3f62b94fe23ba0ccf3c3b5b636b0d64b2ef3962b7e12754bab1d684c,01031994c15bd2d2731f1c372235164d06d014f4b5ec20391ae1db1b3ebf6613
9b3bdb4787ac44186616bd78d9c6b5f15157ac75ffd1e5c77b34f2c5e2ea5155,2fa71453a8069b0a114508ea034e5178bc7e44a8241ce43d5c5ec84b1920e676,20cc3540282be3aa871006f57494ac933434df92fffd8881692832ce0231e421,182fddc690928bea712208247da326b89930d946480e766076e5f14d97970575,8bf347dd619a02be0c2a8b58e54307ba150b87a9ca33d1c01cf4d9518979b461
11d1175c6718da55f2dbee4f061c3743951b1b11ae8b9c01756b289576cff799,11cc3907adcc198195a090463d852c18890729c0487584aa58657de1dec06c38,e64aaa6084b3443ffbabcad0084e6579b22294b9c8bb308ff1ca7f45363dc8d5,ec55cf7491fbb36433331aca14ccc3d0cb955338ee56dfc2d740069398c911ef,b761813efd5b29a375e0f7c1a81641c090398f89c39f170ef4384b5b61c11302
a5b183f3fb576cef9348f16d1e35bf9460a22b6cb48056a171e7d928c66d39fb,bbee1add918997da162563c893f972e8c9592cd87fe425075adca069ede15d92,c8c5ed40a0f4e7fce30dd122badbc8f95df5ce526e8fdcff53c2ad3fedd19844,1f33a939f2c7fa207b935af029969c58a3113cbb9279f696769e7939bfc03a5a,362dda650c800d85be36d90909283c950b7d6d080ffe9c4d7d4aecab00f5aacb
8a41701df25ca581a951175b355ade53f65f06dfa830c9c9ac45ee6d8dc303f2,8005bc154f9339d32eff931c26653462e19c03e43db95cc7d73ed1a564728237,a72cac290b203af91eb0c384999d90d7fd492ac5c7823582c39fb8ebe8a26110,82fb46ac9e68982a0dae7e460561f8d56c96cc8743456816fa655768dd30739b,490ca67e1ca5b921da2abc6cdba5ee7cd165f7548c3ca449a20423075912cd00
2b38065ff764b87b6898871e76d78381e9e496b15e1765f1f24bd77da80cfa3f,5287e52993b2c421722499a4c899e2633a1e60795cd9cad41577b9d63e719245,a6212f740c96d95cf3cc23119a3c6c82ab11f85a1c975da4a0f7541da4f7f86a,2b146429666f098145b40fa9dd95a44f3f80bc300e52becff00b30c5d22f5080,b43d6d632a310fde94b37dde75d22b73d21914e5caa367f06cc5183167672672
af0d97709d39dfabec7d61d863dc724500ef363866fa3719de75cdee14350ef9,89e48d22bcba169bc5570e53b8a1c745ad7fc40156dd256ce2280cb1af9d5f32,e08f56ce801f216d08ef8b437ce5f4504ff8b3d3482afb147696f48d1cde3194,951936bcfe72e4360affe99fc2707bccc29fcb5a6c940d1df25a7f8589b95756,ea03a0e7a1a0c8c3594e0a4fcbed7f790a595ec327c9e529b1468bb9741f82ed
5876e67e48ac3a9a8f027bf11e201ea7de5166e7c56375e6e88d6411cb7800f9,2d68364d0c5ac65a55b99455f7b1310bd69f80e1d4569f3d3ecd61f342cafa48,3cc17e2b7f636e92b0a9085805b65ffbbe2c7d0e10557b00dd25b3df6379d97b,41996719e5d6a385b0e6c2a3d57da8169c4f2e01795c07830fe991ec0f3b2d2d,14ef0b2a7b4064373642a4a56936478d18a4f61cf1179b187e6c3bac14583e00
e5413b5542647ed077c89866d0cb9e32a019c6c8ffd15781aa1e1f227cb35590,34f77abee20ba4d96a922afd75f0b37a8d61537a9c3ac7b47345413a2954999c,bc8603f095a8bc94fe07d93dc52e4175b3368cbe3d31a2efcd5ab37ece9afd16,d1ce031508e0840f00370679ee5e12139b4093c2b86fd49a76e488f800fe250e,ba2ee23a2ce872ed2b2e9f001efdd283a880f39dce8b59a31b1b0b7b65ff0aee
